Financial_VaR95,Financial_VaR99,Retail_VaR95,Retail_VaR99,Extended_VaR95,Extended_VaR99,variable,value
163534.14095031415,176918.40380053647,59.1526972789423,279.3722634420122,163593.2936475931,177197.7760639785,STO 발행 비율,0.1
145302.66166334483,158946.1700272132,72.55508102176927,429.68709417617356,145375.2167443666,159375.85712138936,STO 발행 비율,0.2
129565.40583977276,144519.30735844417,106.58670116636011,570.0,129671.99254093913,145089.30735844417,STO 발행 비율,0.3
114286.93923265429,127349.28305024635,43.86817945713885,576.9876574679845,114330.80741211143,127926.27070771433,STO 발행 비율,0.4
100749.16573117579,113566.91249011259,59.0976724210936,587.252849951206,100808.26340359688,114154.1653400638,STO 발행 비율,0.5
129438.88527464686,141898.583170257,60.805437261595905,461.7428575862471,129499.69071190846,142360.32602784326,분양률 성장률,-0.05
127810.13205146349,142472.9123417273,60.66858707198772,645.7854836223055,127870.80063853547,143118.6978253496,분양률 성장률,-0.02
128224.19929038543,142538.154183529,66.31766704036811,502.6964573615522,128290.51695742579,143040.85064089054,분양률 성장률,0.0
129207.87553757684,141795.7358561874,82.24736449770157,570.0,129290.12290207454,142365.7358561874,분양률 성장률,0.02
128680.27542567268,142328.08658196713,32.56678871912241,580.9200224851759,128712.8422143918,142909.0066044523,분양률 성장률,0.05
135216.9407419087,150020.24954331343,0.0,387.0081233836457,135216.9407419087,150407.25766669709,분양률 변동성,0.15
131996.0439313158,147170.48650759834,33.623024583724536,527.0579423292429,132029.66695589953,147697.54444992758,분양률 변동성,0.2
129340.70901210752,143641.92813488608,74.04505301898821,611.2665720756563,129414.7540651265,144253.19470696175,분양률 변동성,0.25
126470.10848888839,139099.11342802682,126.79290311044089,602.4573210532415,126596.90139199884,139701.57074908007,분양률 변동성,0.3
126730.87554824955,142008.82766503037,196.09566238341344,821.5497793186433,126926.97121063295,142830.37744434903,분양률 변동성,0.35
128206.03877824228,141795.1395163092,86.19278767941267,595.1655114025064,128292.23156592168,142390.3050277117,급매각 할인율,0.3
129864.89393192448,143629.26405012203,70.01774732153247,469.6107532888366,129934.91167924601,144098.87480341087,급매각 할인율,0.4
129261.43219250691,143947.30133196688,33.66206566775745,530.0093622448702,129295.09425817466,144477.31069421174,급매각 할인율,0.5
128236.41951234639,143298.8875492708,50.50019449866726,520.9071861867362,128286.91970684506,143819.79473545752,급매각 할인율,0.6
129096.20568502462,143436.46945930013,19.50726435058292,493.65645169338967,129115.7129493752,143930.12591099352,급매각 할인율,0.7
136747.88614620405,153456.89485512231,1.2184133327651638,460.7506558454412,136749.10455953682,153917.64551096776,담보 비율,0.1
133423.39977157276,148590.36982196904,32.66264870538354,513.1596400517519,133456.06242027815,149103.5294620208,담보 비율,0.2
128316.18181137968,141267.06788967326,17.08674999596128,494.7447195367084,128333.26856137563,141761.81260920997,담보 비율,0.3
125359.17753640395,137979.42614742953,28.952694732594626,614.3188837370392,125388.13023113654,138593.74503116656,담보 비율,0.4
120728.46292172727,134728.2727606798,30.10089048097697,456.6607685574756,120758.56381220825,135184.93352923729,담보 비율,0.5
